First,First_Type_1,First_Type_2,First_HP,First_Attack,First_Defense,First_Sp_Atk,First_Sp_Def,First_Speed,First_Legendary,Second,Second_Type_1,Second_Type_2,Second_HP,Second_Attack,Second_Defense,Second_Sp_Atk,Second_Sp_Def,Second_Speed,Second_Legendary
679,0.0,17.0,80,70,40,100,60,145,0.0,457,9.0,12.0,60,52,168,47,138,30,0.0
401,16.0,15.0,110,80,90,95,90,65,0.0,492,13.0,5.0,58,70,45,40,45,42,0.0
579,12.0,4.0,50,55,50,36,30,43,0.0,168,17.0,12.0,60,62,80,63,80,60,0.0
369,15.0,9.0,73,100,60,100,60,65,0.0,15,0.0,7.0,50,20,55,25,25,30,0.0
281,0.0,12.0,50,70,50,50,50,40,0.0,167,17.0,12.0,45,49,65,49,65,45,0.0
450,0.0,17.0,60,85,49,60,49,60,0.0,383,1.0,12.0,95,60,79,100,125,81,0.0
443,15.0,12.0,55,75,50,40,40,80,0.0,314,15.0,12.0,150,160,100,95,65,100,0.0
754,15.0,11.0,101,72,72,99,89,29,0.0,52,0.0,14.0,35,70,55,45,55,25,0.0
275,17.0,10.0,70,85,65,105,85,120,0.0,281,0.0,12.0,50,70,50,50,50,40,0.0
336,13.0,12.0,60,60,75,60,75,80,0.0,484,12.0,12.0,103,93,67,71,61,84,0.0
175,0.0,14.0,85,105,100,79,83,78,0.0,486,5.0,17.0,67,89,116,79,116,33,0.0
8,6.0,2.0,78,130,111,130,85,100,0.0,764,8.0,9.0,71,73,88,120,89,59,0.0
289,9.0,1.0,45,45,35,20,30,20,0.0,440,3.0,12.0,64,66,68,81,76,50,0.0
342,17.0,12.0,60,40,50,75,85,95,0.0,348,14.0,12.0,45,90,20,65,20,65,0.0
665,10.0,3.0,65,85,70,75,70,40,0.0,580,5.0,12.0,62,77,62,50,42,65,0.0
154,2.0,12.0,80,105,65,60,75,130,0.0,672,1.0,17.0,46,87,60,30,40,57,0.0
405,15.0,12.0,100,90,130,45,65,55,1.0,657,2.0,12.0,50,47,50,57,50,65,0.0
285,17.0,9.0,35,55,35,30,30,35,0.0,792,,,85,70,80,97,80,123,
163,6.0,12.0,106,110,90,154,90,130,0.0,260,15.0,1.0,45,75,37,70,55,83,0.0
373,17.0,12.0,110,78,73,76,71,60,0.0,189,3.0,2.0,90,30,15,40,20,15,0.0
252,12.0,12.0,90,120,120,60,60,50,0.0,581,5.0,12.0,80,115,80,65,55,93,0.0
195,9.0,7.0,70,55,55,80,60,45,0.0,97,8.0,14.0,105,105,75,65,100,50,0.0
759,15.0,4.0,42,52,67,39,56,50,0.0,304,12.0,12.0,28,25,25,45,35,40,0.0
27,12.0,7.0,40,60,30,31,31,70,0.0,663,0.0,12.0,60,100,115,70,85,90,0.0
60,5.0,12.0,50,52,48,65,50,55,0.0,687,9.0,5.0,65,125,100,60,70,70,1.0
448,0.0,9.0,77,85,51,55,51,65,0.0,227,12.0,12.0,90,120,75,60,60,45,0.0
494,9.0,12.0,108,130,95,80,85,102,0.0,63,17.0,12.0,65,105,60,60,70,95,0.0
700,17.0,5.0,91,90,129,90,72,108,0.0,580,5.0,12.0,62,77,62,50,42,65,0.0
106,9.0,15.0,85,73,70,73,115,67,0.0,445,15.0,17.0,59,45,40,35,40,31,0.0
543,9.0,12.0,91,90,106,130,106,77,0.0,787,,,75,95,122,58,75,69,
255,6.0,12.0,55,20,35,20,45,75,1.0,102,17.0,12.0,60,65,60,130,75,110,0.0
99,14.0,12.0,50,95,180,85,45,70,0.0,15,0.0,7.0,50,20,55,25,25,30,0.0
478,12.0,7.0,60,60,60,105,105,105,0.0,376,8.0,12.0,40,40,55,40,70,55,0.0
180,4.0,12.0,40,20,30,40,80,55,0.0,404,16.0,15.0,55,84,105,114,75,52,0.0
769,8.0,9.0,77,59,50,67,63,46,0.0,350,10.0,12.0,70,140,70,110,65,105,0.0
36,13.0,12.0,70,62,67,55,55,56,0.0,416,2.0,7.0,80,50,100,100,200,50,1.0
238,1.0,6.0,50,50,120,80,80,30,0.0,686,15.0,5.0,45,85,70,40,40,60,1.0
222,0.0,17.0,100,70,70,65,65,45,0.0,89,17.0,11.0,25,35,70,95,55,45,0.0
394,17.0,12.0,65,150,60,115,60,115,0.0,152,6.0,7.0,30,80,90,55,45,55,1.0
596,9.0,12.0,50,50,40,50,40,64,0.0,528,14.0,12.0,68,165,95,65,115,110,1.0
608,1.0,5.0,60,67,85,77,75,116,0.0,306,0.0,10.0,68,65,65,125,115,80,0.0
201,0.0,7.0,70,100,115,30,65,30,0.0,539,9.0,12.0,80,105,105,105,105,80,1.0
729,5.0,1.0,85,56,77,50,77,78,0.0,578,12.0,12.0,116,55,85,107,95,29,0.0
293,17.0,7.0,60,50,70,50,90,65,0.0,410,2.0,15.0,95,145,130,120,90,120,1.0
137,17.0,11.0,65,125,100,55,70,85,0.0,780,15.0,4.0,85,110,76,65,82,56,1.0
725,4.0,12.0,41,56,40,62,44,71,0.0,635,3.0,7.0,75,95,60,65,60,115,0.0
38,13.0,10.0,46,57,40,40,40,50,0.0,444,15.0,12.0,85,120,70,50,60,100,0.0
145,15.0,18.0,55,55,50,45,65,55,0.0,167,17.0,12.0,45,49,65,49,65,45,0.0
740,4.0,12.0,78,65,68,112,154,75,0.0,799,,,80,160,60,170,130,80,
446,15.0,17.0,79,85,60,55,60,71,0.0,486,5.0,17.0,67,89,116,79,116,33,0.0
567,12.0,7.0,65,80,65,35,65,60,0.0,790,,,95,117,184,44,46,28,
148,15.0,7.0,65,130,60,95,110,65,0.0,684,0.0,6.0,59,74,50,35,50,35,0.0
8,6.0,2.0,78,130,111,130,85,100,0.0,656,8.0,6.0,165,75,80,40,45,65,0.0
534,8.0,2.0,50,65,107,105,107,86,1.0,404,16.0,15.0,55,84,105,114,75,52,0.0
401,16.0,15.0,110,80,90,95,90,65,0.0,725,4.0,12.0,41,56,40,62,44,71,0.0
59,5.0,12.0,65,70,60,65,65,115,0.0,678,6.0,12.0,50,40,85,40,65,25,0.0
430,17.0,17.0,50,180,20,180,20,150,0.0,578,12.0,12.0,116,55,85,107,95,29,0.0
49,0.0,9.0,45,50,55,75,65,30,0.0,686,15.0,5.0,45,85,70,40,40,60,1.0
163,6.0,12.0,106,110,90,154,90,130,0.0,337,13.0,12.0,60,100,85,80,85,100,0.0
540,9.0,7.0,75,125,70,125,70,115,1.0,287,17.0,9.0,38,30,41,30,41,60,0.0
733,14.0,12.0,38,35,40,27,25,35,0.0,432,12.0,7.0,50,95,90,95,90,180,0.0
47,9.0,14.0,40,45,35,30,40,55,0.0,289,9.0,1.0,45,45,35,20,30,20,0.0
769,8.0,9.0,77,59,50,67,63,46,0.0,333,0.0,12.0,70,110,180,60,60,50,0.0
316,12.0,12.0,61,90,45,50,50,160,0.0,283,0.0,12.0,100,110,90,85,90,60,0.0
271,6.0,5.0,106,130,90,110,154,90,0.0,487,5.0,17.0,50,80,95,10,45,10,0.0
548,17.0,12.0,80,80,80,80,80,80,0.0,272,17.0,12.0,100,100,100,100,100,100,0.0
34,13.0,12.0,75,100,110,45,55,65,0.0,193,15.0,12.0,65,75,70,95,70,95,0.0
629,17.0,7.0,75,140,65,112,65,110,0.0,577,10.0,17.0,76,25,45,67,55,24,0.0
458,9.0,12.0,40,29,45,29,45,36,0.0,394,17.0,12.0,65,150,60,115,60,115,0.0
82,17.0,15.0,55,95,115,45,45,35,0.0,352,10.0,2.0,170,90,45,90,45,60,0.0
796,,,50,100,150,100,150,50,,402,16.0,15.0,35,64,85,74,55,32,0.0
591,0.0,14.0,103,60,86,60,86,50,0.0,717,6.0,7.0,100,128,90,77,77,128,0.0
268,6.0,12.0,100,134,110,95,100,61,0.0,713,12.0,12.0,125,120,90,170,100,95,0.0
638,9.0,14.0,70,55,95,95,110,65,0.0,697,2.0,11.0,92,105,90,125,90,98,1.0
77,15.0,10.0,65,90,50,85,45,55,0.0,49,0.0,9.0,45,50,55,75,65,30,0.0
730,12.0,12.0,45,50,43,40,38,62,0.0,619,1.0,12.0,50,65,85,35,35,55,0.0
293,17.0,7.0,60,50,70,50,90,65,0.0,141,6.0,12.0,95,125,79,60,100,81,0.0
162,9.0,12.0,91,134,95,100,100,80,0.0,713,12.0,12.0,125,120,90,170,100,95,0.0
378,8.0,12.0,66,41,77,61,87,23,0.0,704,9.0,12.0,79,100,80,110,90,121,0.0
696,2.0,11.0,72,85,70,65,70,58,1.0,662,11.0,12.0,60,80,95,70,85,50,0.0
596,9.0,12.0,50,50,40,50,40,64,0.0,717,6.0,7.0,100,128,90,77,77,128,0.0
433,12.0,7.0,55,68,64,45,55,31,0.0,670,10.0,8.0,60,40,60,95,60,55,0.0
182,4.0,12.0,40,60,40,40,40,30,0.0,773,11.0,12.0,67,58,57,81,67,101,0.0
490,13.0,0.0,76,65,45,92,42,91,0.0,608,1.0,5.0,60,67,85,77,75,116,0.0
701,12.0,15.0,91,129,90,72,90,108,0.0,757,5.0,7.0,53,54,53,37,46,45,0.0
308,0.0,8.0,40,30,32,50,52,65,0.0,178,17.0,3.0,60,30,30,36,56,50,0.0
365,17.0,1.0,45,40,60,40,75,50,0.0,434,12.0,12.0,75,89,85,55,65,36,0.0
680,1.0,2.0,109,66,84,81,99,32,0.0,262,6.0,7.0,255,10,10,75,135,55,1.0
40,4.0,12.0,81,102,77,85,75,85,0.0,464,12.0,12.0,70,80,102,80,102,40,0.0
39,4.0,12.0,61,72,57,55,55,65,0.0,606,0.0,16.0,60,100,89,55,69,112,0.0
176,13.0,7.0,35,46,34,35,45,20,0.0,64,17.0,5.0,55,70,45,70,50,60,0.0
146,15.0,18.0,130,65,60,110,95,65,0.0,615,15.0,7.0,70,90,45,15,45,50,0.0
327,5.0,15.0,50,75,75,65,65,50,0.0,758,3.0,4.0,86,92,88,68,75,73,0.0
241,17.0,2.0,55,55,85,65,85,35,0.0,389,11.0,18.0,20,40,90,30,90,25,0.0
420,14.0,12.0,80,90,80,130,110,110,1.0,28,13.0,12.0,65,90,65,61,61,100,0.0
766,8.0,9.0,62,55,52,109,94,109,0.0,572,15.0,12.0,75,98,63,98,63,101,0.0
334,0.0,12.0,70,140,230,60,80,50,0.0,700,17.0,5.0,91,90,129,90,72,108,0.0
630,11.0,12.0,50,50,62,40,62,65,0.0,741,4.0,12.0,66,65,48,62,57,52,0.0
157,14.0,5.0,90,85,100,95,125,85,1.0,350,10.0,12.0,70,140,70,110,65,105,0.0
560,6.0,12.0,110,123,65,100,65,65,0.0,111,12.0,12.0,60,40,80,60,45,40,0.0
646,16.0,12.0,71,95,85,110,95,79,0.0,672,1.0,17.0,46,87,60,30,40,57,0.0
729,5.0,1.0,85,56,77,50,77,78,0.0,720,0.0,7.0,61,78,95,56,58,57,0.0
19,0.0,14.0,65,90,40,45,80,75,0.0,107,10.0,12.0,30,105,90,25,25,50,0.0
628,17.0,7.0,55,112,45,74,45,70,0.0,19,0.0,14.0,65,90,40,45,80,75,0.0
471,13.0,1.0,111,83,68,92,82,39,0.0,136,17.0,1.0,65,95,57,100,85,93,0.0
497,17.0,7.0,40,70,40,35,40,60,0.0,665,10.0,3.0,65,85,70,75,70,40,0.0
527,14.0,12.0,68,125,65,65,115,80,1.0,313,12.0,4.0,80,80,80,55,55,90,0.0
249,11.0,15.0,75,90,90,140,90,115,0.0,528,14.0,12.0,68,165,95,65,115,110,1.0
427,6.0,5.0,105,180,100,180,100,115,0.0,158,14.0,12.0,90,90,85,125,90,100,1.0
673,12.0,12.0,66,117,70,40,50,67,0.0,550,17.0,12.0,70,90,90,135,90,125,0.0
584,17.0,10.0,55,75,85,25,25,15,0.0,329,3.0,12.0,50,85,85,55,55,50,0.0
384,1.0,12.0,70,70,70,70,70,70,0.0,142,12.0,12.0,95,155,109,70,130,81,0.0
269,6.0,5.0,100,164,150,95,120,71,0.0,81,17.0,15.0,40,80,100,30,30,20,0.0
177,17.0,3.0,85,76,64,45,55,90,0.0,27,12.0,7.0,40,60,30,31,31,70,0.0
135,17.0,7.0,65,83,57,95,85,105,0.0,783,14.0,1.0,54,66,70,44,55,46,1.0
599,10.0,1.0,120,100,85,30,85,45,0.0,526,14.0,12.0,85,80,70,135,75,90,1.0
175,0.0,14.0,85,105,100,79,83,78,0.0,240,1.0,6.0,100,100,80,60,60,50,0.0
126,14.0,4.0,30,40,70,70,25,60,0.0,146,15.0,18.0,130,65,60,110,95,65,0.0
91,13.0,12.0,52,65,55,58,62,60,0.0,241,17.0,2.0,55,55,85,65,85,35,0.0
270,6.0,5.0,106,90,130,90,154,110,0.0,99,14.0,12.0,50,95,180,85,45,70,0.0
43,12.0,4.0,38,41,40,50,65,65,0.0,354,9.0,1.0,70,100,70,105,75,40,0.0
691,3.0,7.0,70,55,75,45,65,60,1.0,509,0.0,7.0,45,20,50,60,120,50,0.0
175,0.0,14.0,85,105,100,79,83,78,0.0,209,14.0,12.0,65,65,45,75,45,95,0.0
753,15.0,2.0,78,52,60,63,65,23,0.0,249,11.0,15.0,75,90,90,140,90,115,0.0
77,15.0,10.0,65,90,50,85,45,55,0.0,445,15.0,17.0,59,45,40,35,40,31,0.0
573,15.0,12.0,50,53,48,53,48,64,0.0,454,3.0,12.0,67,125,40,30,30,58,0.0
414,10.0,6.0,80,145,150,105,110,110,1.0,372,17.0,12.0,50,48,43,46,41,60,0.0
780,15.0,4.0,85,110,76,65,82,56,1.0,385,14.0,12.0,60,90,70,60,120,40,0.0
720,0.0,7.0,61,78,95,56,58,57,0.0,744,15.0,18.0,95,124,78,69,71,58,0.0
277,1.0,12.0,45,60,40,70,50,45,0.0,96,8.0,14.0,80,80,50,40,50,25,0.0
329,3.0,12.0,50,85,85,55,55,50,0.0,744,15.0,18.0,95,124,78,69,71,58,0.0
151,3.0,7.0,70,60,125,115,70,55,1.0,87,12.0,7.0,95,75,110,100,80,30,0.0
89,17.0,11.0,25,35,70,95,55,45,0.0,713,12.0,12.0,125,120,90,170,100,95,0.0
530,17.0,2.0,45,100,135,65,135,45,1.0,692,2.0,6.0,110,65,105,55,95,80,1.0
199,9.0,12.0,70,20,50,20,50,40,0.0,792,,,85,70,80,97,80,123,
627,14.0,12.0,74,108,133,83,65,32,0.0,246,12.0,12.0,65,80,140,40,70,70,0.0
382,14.0,12.0,20,15,20,10,55,80,0.0,387,11.0,12.0,64,115,65,83,63,65,0.0
770,8.0,9.0,123,77,72,99,92,58,0.0,568,12.0,7.0,85,110,90,45,90,80,0.0
442,9.0,14.0,40,55,30,30,30,60,0.0,71,5.0,12.0,55,50,45,135,95,120,0.0
32,10.0,12.0,60,90,55,90,80,110,0.0,669,10.0,8.0,50,30,55,65,55,20,0.0
604,6.0,15.0,30,45,59,30,39,57,0.0,590,0.0,9.0,110,135,60,50,65,88,0.0
115,10.0,16.0,50,120,53,35,110,87,0.0,733,14.0,12.0,38,35,40,27,25,35,0.0
40,4.0,12.0,81,102,77,85,75,85,0.0,478,12.0,7.0,60,60,60,105,105,105,0.0
474,16.0,15.0,150,80,44,90,54,80,0.0,566,12.0,7.0,45,60,45,25,45,55,0.0
439,3.0,12.0,53,51,53,61,56,40,0.0,448,0.0,9.0,77,85,51,55,51,65,0.0
600,10.0,1.0,75,125,75,30,75,85,0.0,2,9.0,14.0,60,62,63,80,80,60,0.0
358,12.0,12.0,80,45,65,90,110,80,0.0,130,6.0,12.0,30,45,55,70,55,85,0.0
780,15.0,4.0,85,110,76,65,82,56,1.0,310,12.0,12.0,60,40,60,40,60,35,0.0
722,6.0,13.0,40,45,40,62,60,60,0.0,312,5.0,12.0,60,60,60,35,35,30,0.0
274,17.0,10.0,50,65,45,85,65,95,0.0,154,2.0,12.0,80,105,65,60,75,130,0.0
530,17.0,2.0,45,100,135,65,135,45,1.0,395,17.0,16.0,95,23,48,23,48,23,0.0
244,12.0,12.0,45,55,45,65,45,75,0.0,792,,,85,70,80,97,80,123,
249,11.0,15.0,75,90,90,140,90,115,0.0,508,4.0,7.0,69,69,76,69,86,91,0.0
505,9.0,12.0,83,106,65,86,65,85,0.0,204,14.0,12.0,55,45,50,45,65,80,0.0
558,9.0,12.0,65,63,45,45,45,45,0.0,494,9.0,12.0,108,130,95,80,85,102,0.0
451,0.0,7.0,80,120,79,95,79,70,0.0,763,16.0,4.0,50,53,62,58,63,44,0.0
28,13.0,12.0,65,90,65,61,61,100,0.0,64,17.0,5.0,55,70,45,70,50,60,0.0
178,17.0,3.0,60,30,30,36,56,50,0.0,127,0.0,7.0,55,65,95,95,45,85,0.0
757,5.0,7.0,53,54,53,37,46,45,0.0,406,11.0,12.0,43,30,55,40,65,97,1.0
529,16.0,2.0,60,55,145,75,150,40,1.0,439,3.0,12.0,53,51,53,61,56,40,0.0
778,1.0,7.0,57,80,91,80,87,75,1.0,2,9.0,14.0,60,62,63,80,80,60,0.0
318,1.0,8.0,64,51,23,51,23,28,0.0,3,9.0,14.0,80,82,83,100,100,80,0.0
664,0.0,12.0,35,55,40,45,40,60,0.0,35,13.0,10.0,55,47,52,40,40,41,0.0
206,1.0,7.0,55,70,55,40,55,85,0.0,21,12.0,7.0,40,45,40,35,35,56,0.0
477,12.0,12.0,65,136,94,54,96,135,0.0,444,15.0,12.0,85,120,70,50,60,100,0.0
781,15.0,4.0,49,66,70,44,55,51,1.0,414,10.0,6.0,80,145,150,105,110,110,1.0
657,2.0,12.0,50,47,50,57,50,65,0.0,339,17.0,1.0,70,75,60,105,60,105,0.0
326,5.0,15.0,70,65,65,55,55,70,0.0,405,15.0,12.0,100,90,130,45,65,55,1.0
571,15.0,12.0,50,53,48,53,48,64,0.0,320,16.0,4.0,104,91,63,91,73,68,0.0
584,17.0,10.0,55,75,85,25,25,15,0.0,146,15.0,18.0,130,65,60,110,95,65,0.0
636,0.0,12.0,45,30,50,55,65,45,0.0,372,17.0,12.0,50,48,43,46,41,60,0.0
29,13.0,12.0,35,60,44,40,54,55,0.0,465,12.0,12.0,60,45,70,45,90,95,0.0
17,0.0,14.0,40,35,30,20,20,50,0.0,768,8.0,9.0,82,121,119,69,59,71,0.0
37,13.0,12.0,90,92,87,75,85,76,0.0,581,5.0,12.0,80,115,80,65,55,93,0.0
103,3.0,12.0,60,65,80,170,95,130,0.0,582,5.0,12.0,45,60,32,50,32,76,0.0
611,8.0,12.0,70,92,65,80,55,98,0.0,640,17.0,8.0,65,40,50,125,60,30,0.0
104,3.0,12.0,35,45,160,30,45,70,0.0,168,17.0,12.0,60,62,80,63,80,60,0.0
373,17.0,12.0,110,78,73,76,71,60,0.0,115,10.0,16.0,50,120,53,35,110,87,0.0
68,14.0,12.0,90,95,95,70,90,70,0.0,549,17.0,12.0,100,100,100,100,100,100,0.0
520,3.0,8.0,85,50,95,120,115,80,0.0,788,,,85,100,122,58,75,54,
641,17.0,12.0,110,65,75,125,85,30,0.0,126,14.0,4.0,30,40,70,70,25,60,0.0
597,9.0,12.0,75,65,55,65,55,69,0.0,750,3.0,13.0,59,110,150,45,49,35,0.0
676,1.0,7.0,95,110,80,70,80,50,0.0,89,17.0,11.0,25,35,70,95,55,45,0.0
318,1.0,8.0,64,51,23,51,23,28,0.0,154,2.0,12.0,80,105,65,60,75,130,0.0
372,17.0,12.0,50,48,43,46,41,60,0.0,640,17.0,8.0,65,40,50,125,60,30,0.0
27,12.0,7.0,40,60,30,31,31,70,0.0,666,5.0,12.0,85,115,80,105,80,50,0.0
452,0.0,7.0,40,30,35,50,70,55,0.0,258,15.0,10.0,45,30,15,85,65,65,0.0
179,3.0,12.0,100,50,50,76,96,70,0.0,781,15.0,4.0,49,66,70,44,55,51,1.0
216,16.0,10.0,60,60,60,85,85,85,0.0,327,5.0,15.0,50,75,75,65,65,50,0.0
745,15.0,18.0,75,80,60,65,90,102,0.0,609,14.0,7.0,45,35,50,70,50,30,0.0
726,9.0,12.0,54,63,52,83,56,97,0.0,540,9.0,7.0,75,125,70,125,70,115,1.0
156,14.0,12.0,160,110,65,65,110,30,1.0,681,1.0,2.0,45,85,50,55,50,65,0.0
504,10.0,16.0,48,61,40,61,40,50,0.0,182,4.0,12.0,40,60,40,40,40,30,0.0
367,10.0,15.0,75,110,110,110,105,80,0.0,464,12.0,12.0,70,80,102,80,102,40,0.0
693,2.0,3.0,85,97,66,105,66,65,1.0,440,3.0,12.0,64,66,68,81,76,50,0.0
604,6.0,15.0,30,45,59,30,39,57,0.0,293,17.0,7.0,60,50,70,50,90,65,0.0
137,17.0,11.0,65,125,100,55,70,85,0.0,531,6.0,17.0,70,80,70,80,70,110,1.0
693,2.0,3.0,85,97,66,105,66,65,1.0,54,10.0,12.0,60,55,50,40,55,45,0.0
219,4.0,12.0,70,80,65,90,65,85,0.0,105,9.0,15.0,60,48,45,43,90,42,0.0
81,17.0,15.0,40,80,100,30,30,20,0.0,258,15.0,10.0,45,30,15,85,65,65,0.0
213,0.0,17.0,95,65,110,60,130,65,0.0,760,2.0,12.0,72,105,115,54,86,68,0.0
613,17.0,16.0,60,82,45,45,45,74,0.0,393,17.0,12.0,65,130,60,75,60,75,0.0
644,9.0,17.0,36,50,50,65,60,44,0.0,570,3.0,12.0,64,88,50,88,50,106,0.0
211,12.0,15.0,95,85,85,65,65,35,0.0,6,6.0,12.0,58,64,58,80,65,80,0.0
447,0.0,12.0,37,25,41,25,41,25,0.0,270,6.0,5.0,106,90,130,90,154,110,0.0
732,14.0,12.0,78,81,71,74,69,126,0.0,376,8.0,12.0,40,40,55,40,70,55,0.0
788,,,85,100,122,58,75,54,,212,0.0,12.0,65,65,60,130,95,110,0.0
403,16.0,15.0,55,104,105,94,75,52,0.0,175,0.0,14.0,85,105,100,79,83,78,0.0
101,17.0,12.0,45,50,45,115,55,95,0.0,596,9.0,12.0,50,50,40,50,40,64,0.0
316,12.0,12.0,61,90,45,50,50,160,0.0,790,,,95,117,184,44,46,28,
654,8.0,6.0,55,40,50,65,85,40,0.0,220,17.0,14.0,50,65,90,35,35,15,0.0
16,0.0,14.0,60,45,50,90,80,70,0.0,310,12.0,12.0,60,40,60,40,60,35,0.0
21,12.0,7.0,40,45,40,35,35,56,0.0,705,9.0,12.0,79,115,70,125,80,111,0.0
577,10.0,17.0,76,25,45,67,55,24,0.0,545,6.0,12.0,150,100,120,100,120,90,0.0
580,5.0,12.0,62,77,62,50,42,65,0.0,726,9.0,12.0,54,63,52,83,56,97,0.0
346,6.0,12.0,70,43,53,43,53,40,0.0,477,12.0,12.0,65,136,94,54,96,135,0.0
21,12.0,7.0,40,45,40,35,35,56,0.0,601,10.0,1.0,45,53,70,40,60,42,0.0
476,14.0,4.0,65,76,84,54,96,105,0.0,305,12.0,12.0,38,35,35,65,55,50,0.0
664,0.0,12.0,35,55,40,45,40,60,0.0,555,12.0,12.0,45,45,55,45,55,63,0.0
269,6.0,5.0,100,164,150,95,120,71,0.0,317,1.0,8.0,1,90,45,30,30,40,0.0
501,1.0,11.0,108,112,118,68,72,47,0.0,779,2.0,10.0,43,70,48,50,60,38,1.0
343,6.0,10.0,65,73,55,47,75,85,0.0,120,17.0,12.0,80,85,95,30,30,25,0.0
392,17.0,12.0,65,50,70,95,80,65,0.0,407,16.0,12.0,45,75,60,40,30,50,1.0
579,12.0,4.0,50,55,50,36,30,43,0.0,548,17.0,12.0,80,80,80,80,80,80,0.0
111,12.0,12.0,60,40,80,60,45,40,0.0,296,14.0,4.0,80,70,70,90,100,70,0.0
95,8.0,14.0,90,70,80,70,95,70,0.0,799,,,80,160,60,170,130,80,
356,2.0,7.0,70,85,140,85,70,20,0.0,45,13.0,7.0,115,45,20,45,25,20,0.0
197,9.0,7.0,90,95,105,165,110,45,0.0,167,17.0,12.0,45,49,65,49,65,45,0.0
232,17.0,16.0,80,125,75,40,95,85,0.0,340,17.0,1.0,70,75,80,135,80,135,0.0
193,15.0,12.0,65,75,70,95,70,95,0.0,354,9.0,1.0,70,100,70,105,75,40,0.0
577,10.0,17.0,76,25,45,67,55,24,0.0,331,3.0,12.0,50,70,100,40,40,30,0.0
639,9.0,14.0,45,30,40,105,50,20,0.0,339,17.0,1.0,70,75,60,105,60,105,0.0
794,,,126,131,95,131,98,99,,651,3.0,12.0,70,135,105,60,105,20,0.0
363,17.0,10.0,50,85,40,85,40,35,0.0,534,8.0,2.0,50,65,107,105,107,86,1.0
754,15.0,11.0,101,72,72,99,89,29,0.0,765,8.0,9.0,44,38,33,61,43,70,0.0
756,4.0,12.0,82,80,86,85,75,72,0.0,451,0.0,7.0,80,120,79,95,79,70,0.0
54,10.0,12.0,60,55,50,40,55,45,0.0,672,1.0,17.0,46,87,60,30,40,57,0.0
274,17.0,10.0,50,65,45,85,65,95,0.0,292,12.0,7.0,50,35,55,25,25,15,0.0
700,17.0,5.0,91,90,129,90,72,108,0.0,692,2.0,6.0,110,65,105,55,95,80,1.0
658,2.0,12.0,70,77,60,97,60,108,0.0,270,6.0,5.0,106,90,130,90,154,110,0.0
722,6.0,13.0,40,45,40,62,60,60,0.0,255,6.0,12.0,55,20,35,20,45,75,1.0
745,15.0,18.0,75,80,60,65,90,102,0.0,135,17.0,7.0,65,83,57,95,85,105,0.0
458,9.0,12.0,40,29,45,29,45,36,0.0,752,15.0,2.0,60,50,150,50,150,60,0.0
5,6.0,12.0,39,52,43,60,50,65,0.0,772,8.0,9.0,78,92,75,74,63,118,0.0
566,12.0,7.0,45,60,45,25,45,55,0.0,390,11.0,18.0,40,70,130,60,130,25,0.0
460,17.0,10.0,60,79,105,59,85,36,0.0,477,12.0,12.0,65,136,94,54,96,135,0.0
764,8.0,9.0,71,73,88,120,89,59,0.0,629,17.0,7.0,75,140,65,112,65,110,0.0
353,9.0,12.0,60,60,40,65,45,35,0.0,603,6.0,12.0,75,103,80,70,80,92,0.0
436,0.0,12.0,44,58,44,58,44,61,0.0,432,12.0,7.0,50,95,90,95,90,180,0.0
514,12.0,12.0,70,70,115,130,90,60,0.0,230,11.0,10.0,70,150,140,65,100,75,0.0
751,3.0,13.0,60,150,50,150,50,60,0.0,683,0.0,6.0,77,120,90,60,90,48,0.0
204,14.0,12.0,55,45,50,45,65,80,0.0,582,5.0,12.0,45,60,32,50,32,76,0.0
508,4.0,7.0,69,69,76,69,86,91,0.0,147,15.0,7.0,65,65,60,110,95,130,0.0
53,10.0,12.0,60,95,80,60,80,30,0.0,687,9.0,5.0,65,125,100,60,70,70,1.0
291,12.0,7.0,60,70,50,100,50,65,0.0,300,0.0,7.0,40,55,30,30,30,85,0.0
741,4.0,12.0,66,65,48,62,57,52,0.0,289,9.0,1.0,45,45,35,20,30,20,0.0
587,5.0,12.0,55,45,43,55,43,72,0.0,580,5.0,12.0,62,77,62,50,42,65,0.0
75,17.0,14.0,90,130,80,65,85,55,0.0,145,15.0,18.0,55,55,50,45,65,55,0.0
86,12.0,7.0,90,65,65,40,40,15,0.0,304,12.0,12.0,28,25,25,45,35,40,0.0
153,2.0,12.0,60,115,105,65,70,80,0.0,195,9.0,7.0,70,55,55,80,60,45,0.0
638,9.0,14.0,70,55,95,95,110,65,0.0,663,0.0,12.0,60,100,115,70,85,90,0.0
315,12.0,12.0,31,45,90,30,30,40,0.0,699,17.0,5.0,85,60,65,135,105,100,0.0
593,0.0,14.0,75,80,55,25,35,35,0.0,757,5.0,7.0,53,54,53,37,46,45,0.0
19,0.0,14.0,65,90,40,45,80,75,0.0,488,10.0,12.0,20,25,45,70,90,60,0.0
756,4.0,12.0,82,80,86,85,75,72,0.0,774,11.0,12.0,50,50,150,50,150,50,0.0
699,17.0,5.0,85,60,65,135,105,100,0.0,631,11.0,12.0,80,95,82,60,82,75,0.0
157,14.0,5.0,90,85,100,95,125,85,1.0,355,12.0,7.0,70,120,100,145,105,20,0.0
469,12.0,12.0,70,60,70,87,78,85,0.0,567,12.0,7.0,65,80,65,35,65,60,0.0
